,MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight,Category
348,44368,2010/10/2,2010/10/19,男,5,乌鲁木齐,新疆,CN,51.0,2014/3/31,28,95644,0,2902,18150.0,68339.0,72232,103617.78,2014/3/19,3.5,11955.5,8,13,26.296296299999998,201,0,9467,0,1.4345135119999999,6,22,17934,77710,2902,9467,12369,12369,108013,90079,0.7857142859999999,0.214285714,0.187505881,0.812483664,5,3
357,33114,2012/1/16,2012/1/16,男,5,NISKAYUNA,NW,US,57.0,2014/3/31,28,93334,0,2075,39630.0,41970.0,73852,102371.91,2014/1/24,3.5,11666.75,6,68,24.33333333,87,0,0,6,1.3861765419999998,12,16,42870,50464,2075,0,2075,2075,95409,52539,0.571428571,0.428571429,0.45931322700000005,0.5406760589999999,6,3
460,47657,2007/8/7,2007/9/19,男,5,武汉,湖北,CN,53.0,2014/3/31,33,92162,0,4667,37095.0,40115.0,65345,94869.84,2014/3/25,4.125,11520.25,166,7,17.4375,116,888,1500,0,1.4518301319999998,15,18,42630,49532,4667,2388,7055,6167,99217,55699,0.545454545,0.454545455,0.462550047,0.537439102,3,3
500,56624,2007/7/1,2007/7/1,男,5,深圳,广东,CN,49.0,2014/3/31,33,88054,0,3441,46160.0,31792.0,63453,91823.72,2014/3/31,4.125,11006.75,4,1,22.6875,78,2664,0,3,1.447113927,20,13,51134,36920,3441,2664,6105,3441,94159,40361,0.393939394,0.606060606,0.580705241,0.419283402,8,3
566,18844,2006/5/26,2006/7/26,男,4,北京市,北京,CN,40.0,2014/3/31,31,82761,0,1693,41870.0,33437.0,59830,87576.49,2013/12/10,3.875,10345.125,2,113,20.53333333,80,0,0,3,1.463755474,17,14,46021,36740,1693,0,1693,1693,84454,38433,0.45161290299999995,0.548387097,0.556064377,0.44392354,5,3
612,21151,2008/3/25,2008/3/25,男,6,广州,广东,CN,61.0,2014/3/31,33,79726,0,2911,26685.0,47767.0,60566,84803.29,2014/1/13,4.125,9965.75,23,79,19.65625,129,0,3009,0,1.400179804,12,21,27710,52016,2911,3009,5920,5920,85646,57936,0.636363636,0.363636364,0.34756105200000004,0.652426405,3,3
630,37124,2007/4/2,2007/4/16,女,4,从化,广东,CN,55.0,2014/3/31,6,90726,0,17445,16750.0,69500.0,73392,83789.2,2013/12/21,0.75,11340.75,200,102,85.8,231,0,0,0,1.141666667,1,5,15121,75605,17445,0,17445,17445,108171,93050,0.833333333,0.166666667,0.16666483,0.833324148,4,3
646,1101,2007/4/1,2007/5/30,男,4,.,北京,CN,56.0,2014/3/31,37,76704,0,3316,65247.0,18300.0,58302,83264.31,2013/10/21,4.625,9588.0,21,163,15.19444444,126,9836,2687,0,1.428155295,24,13,60098,16606,3316,12523,15839,6003,92543,22609,0.35135135100000003,0.648648649,0.783495209,0.21649175399999998,15,3
660,24551,2012/6/1,2012/6/1,男,6,青岛市,山东,CN,39.0,2014/3/31,25,73542,0,0,33750.0,29012.0,58213,82310.55,2014/1/16,3.125,9192.75,0,76,24.75,140,0,0,0,1.413954787,13,12,38757,34785,0,0,0,0,73542,34785,0.48,0.52,0.526997811,0.47298859200000004,0,3
666,40819,2010/5/19,2010/5/24,男,5,广州,广东,CN,41.0,2014/3/31,31,81551,0,1716,37875.0,33201.0,60318,81979.56,2014/3/5,3.875,10193.875,16,27,22.93333333,58,0,0,0,1.35912265,16,15,42437,39114,1716,0,1716,1716,83267,40830,0.48387096799999996,0.516129032,0.520367373,0.479620365,0,3
