MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight
59395.0,2011/7/8,2011/10/7,女,4.0,北京,北京,CN,40.0,2014/3/31,11.0,57365.0,0.0,0.0,41330.0,0.0,73370.0,59696.5,2013/2/9,1.375,7170.625,2.0,417.0,31.2,80.0,0.0,0.0,4.0,0.8136363640000001,11.0,0.0,57365.0,0.0,0.0,0.0,0.0,0.0,57365.0,0.0,0.0,1.0,0.999982568,0.0,6.0
35095.0,2010/1/9,2010/1/9,女,4.0,深圳,广东,CN,38.0,2014/3/31,8.0,46758.0,0.0,0.0,19320.0,0.0,55830.0,46316.16,2013/3/16,1.0,5844.75,29.0,382.0,45.71428571,199.0,0.0,0.0,2.0,0.8295926920000001,8.0,0.0,46758.0,0.0,0.0,0.0,0.0,0.0,46758.0,0.0,0.0,1.0,0.9999786140000001,0.0,3.0
14123.0,2012/6/2,2012/6/22,男,4.0,MURAYAMA,YAMAGATA,JP,53.0,2014/3/31,15.0,44010.0,0.0,0.0,38085.0,0.0,48450.0,40052.0,2013/2/1,1.875,5501.25,20.0,425.0,16.0,48.0,0.0,0.0,0.0,0.826666667,15.0,0.0,44010.0,0.0,0.0,0.0,0.0,0.0,44010.0,0.0,0.0,1.0,0.999977278,0.0,0.0
23550.0,2012/6/1,2012/6/1,女,4.0,MIAMI,FL,US,64.0,2014/3/31,4.0,42637.0,0.0,0.0,36000.0,0.0,38663.0,38902.7,2012/6/28,0.5,5329.625,0.0,643.0,9.0,16.0,0.0,0.0,0.0,1.006199726,4.0,0.0,42637.0,0.0,0.0,0.0,0.0,0.0,42637.0,0.0,0.0,1.0,0.999976547,0.0,1.0
14435.0,2011/4/22,2011/5/4,男,4.0,PALOS VERDES ESTATE,,US,52.0,2014/3/31,4.0,45863.0,0.0,0.0,19560.0,0.0,36880.0,37980.88,2012/7/17,0.5,5732.875,24.0,624.0,27.66666667,79.0,800.0,0.0,0.0,1.029850325,4.0,0.0,45863.0,0.0,0.0,800.0,800.0,0.0,46663.0,0.0,0.0,1.0,0.9999781959999999,0.0,1.0
40674.0,2011/2/3,2011/7/17,女,4.0,LOS ANGELES,CA,US,28.0,2014/3/31,3.0,45363.0,0.0,0.0,18900.0,0.0,36696.0,37796.88,2012/6/4,0.375,5670.375,39.0,667.0,12.5,17.0,0.0,0.0,0.0,1.03,3.0,0.0,45363.0,0.0,0.0,0.0,0.0,0.0,45363.0,0.0,0.0,1.0,0.999977956,0.0,0.0
50617.0,2012/5/2,2012/5/2,男,4.0,PLOENIX,AZ,US,31.0,2014/3/31,3.0,45363.0,0.0,0.0,18900.0,0.0,36696.0,37796.88,2012/7/24,0.375,5670.375,0.0,617.0,41.5,78.0,0.0,0.0,0.0,1.03,3.0,0.0,45363.0,0.0,0.0,0.0,0.0,0.0,45363.0,0.0,0.0,1.0,0.999977956,0.0,0.0
22504.0,2010/9/1,2010/9/1,男,4.0,上海,上海,CN,53.0,2014/3/31,5.0,25886.0,0.0,0.0,12770.0,0.0,49693.0,36046.55,2013/3/20,0.625,3235.75,179.0,378.0,43.5,123.0,0.0,0.0,0.0,0.7253848629999999,5.0,0.0,25886.0,0.0,0.0,0.0,0.0,0.0,25886.0,0.0,0.0,1.0,0.9999613709999999,0.0,0.0
13170.0,2010/8/20,2011/12/13,男,4.0,SAN YSIDRO,CA,US,20.0,2014/3/31,6.0,32568.0,0.0,0.0,13070.0,0.0,49832.0,35698.8,2013/1/2,0.75,4071.0,7.0,455.0,53.8,238.0,0.0,0.0,0.0,0.716383047,6.0,0.0,32568.0,0.0,0.0,0.0,0.0,0.0,32568.0,0.0,0.0,1.0,0.999969296,0.0,0.0
1221.0,2007/9/16,2012/7/20,女,4.0,GARDENA,CA,US,47.0,2014/3/31,4.0,32568.0,0.0,0.0,12820.0,0.0,48928.0,35472.8,2012/10/18,0.5,4071.0,110.0,531.0,30.0,44.0,0.0,0.0,0.0,0.725,4.0,0.0,32568.0,0.0,0.0,0.0,0.0,0.0,32568.0,0.0,0.0,1.0,0.999969296,0.0,0.0
44830.0,2008/12/2,2008/12/2,女,5.0,长春,吉林,CN,54.0,2014/3/31,37.0,31315.0,0.0,496.0,12728.0,19649.0,40594.0,33854.6,2014/3/1,4.625,3914.375,3.0,31.0,19.36111111,94.0,0.0,0.0,2.0,0.833980391,17.0,20.0,11525.0,19790.0,496.0,0.0,496.0,496.0,31811.0,20286.0,0.540540541,0.45945945899999996,0.368022736,0.631945331,2.0
2918.0,2006/9/15,2006/9/15,男,5.0,义乌,浙江,CN,38.0,2014/3/31,58.0,28061.0,0.0,1913.0,15151.0,21004.0,52494.0,33029.5,2014/3/24,7.25,3507.625,39.0,8.0,12.0,69.0,0.0,0.0,4.0,0.629205243,25.0,33.0,11967.0,16094.0,1913.0,0.0,1913.0,1913.0,29974.0,18007.0,0.568965517,0.43103448299999997,0.42644857799999997,0.573515786,4.0
54565.0,2011/5/7,2011/5/7,男,4.0,北京,北京,CN,40.0,2014/3/31,32.0,23961.0,0.0,0.0,14872.0,12785.0,54738.0,31810.42,2014/3/9,4.0,2995.125,21.0,23.0,22.16129032,114.0,0.0,1227.0,1.0,0.581139611,17.0,15.0,14429.0,9532.0,0.0,1227.0,1227.0,1227.0,25188.0,10759.0,0.46875,0.53125,0.602161756,0.397796511,14.0
29626.0,2007/10/17,2007/10/17,男,4.0,上海,上海,CN,60.0,2014/3/31,29.0,26906.0,0.0,0.0,17595.0,4926.0,43578.0,31411.56,2014/3/29,3.625,3363.25,25.0,3.0,25.10714286,107.0,0.0,0.0,3.0,0.720812337,20.0,9.0,22948.0,3958.0,0.0,0.0,0.0,0.0,26906.0,3958.0,0.310344828,0.689655172,0.852863567,0.147099268,3.0
26520.0,2011/7/15,2011/7/18,男,5.0,.,北京,CN,31.0,2014/3/31,26.0,31611.0,0.0,0.0,15862.0,12043.0,36885.0,31006.41,2014/3/23,3.25,3951.375,80.0,9.0,25.68,96.0,0.0,13226.0,1.0,0.8406238309999999,15.0,11.0,18252.0,13359.0,0.0,13226.0,13226.0,13226.0,44837.0,26585.0,0.423076923,0.576923077,0.57737568,0.422592686,2.0
40641.0,2010/3/21,2010/3/21,女,4.0,广州,广东,CN,46.0,2014/3/31,31.0,29519.0,0.0,0.0,14723.0,15156.0,40147.0,30713.53,2014/3/16,3.875,3689.875,6.0,16.0,23.63333333,117.0,0.0,0.0,0.0,0.765026777,15.0,16.0,13969.0,15550.0,0.0,0.0,0.0,0.0,29519.0,15550.0,0.516129032,0.48387096799999996,0.47320460700000005,0.5267615179999999,1.0
35902.0,2006/5/16,2006/6/8,女,4.0,乌鲁木齐市,新疆,CN,50.0,2014/3/31,20.0,20933.0,0.0,0.0,13416.0,8383.0,44524.0,30504.77,2013/11/12,2.5,2616.625,2.0,141.0,30.94736842,154.0,0.0,0.0,0.0,0.6851309409999999,13.0,7.0,15124.0,5809.0,0.0,0.0,0.0,0.0,20933.0,5809.0,0.35,0.65,0.722461068,0.277491163,0.0
26605.0,2005/11/15,2005/11/15,男,4.0,鞍山,辽宁,CN,38.0,2014/3/31,42.0,29252.0,0.0,1183.0,7899.0,21935.0,44581.0,29932.95,2014/3/15,5.25,3656.5,29.0,17.0,16.70731707,75.0,0.0,4000.0,5.0,0.671428411,11.0,31.0,7231.0,22021.0,1183.0,4000.0,5183.0,5183.0,34435.0,27204.0,0.738095238,0.261904762,0.24718832300000002,0.752777493,6.0
14072.0,2011/1/14,2011/1/14,男,4.0,广州,广东,CN,30.0,2014/3/31,26.0,23186.0,0.0,0.0,22218.0,4753.0,41725.0,29725.05,2014/1/18,3.25,2898.25,0.0,74.0,26.28,98.0,368.0,300.0,1.0,0.712403835,19.0,7.0,18977.0,4209.0,0.0,668.0,668.0,300.0,23854.0,4509.0,0.269230769,0.7307692309999999,0.818432742,0.18152413,4.0
25967.0,2011/7/18,2011/7/19,男,4.0,NIIHAMA-SHI,EHIME-KEN,JP,68.0,2014/3/31,27.0,27871.0,0.0,0.0,33220.0,20840.0,35910.0,28967.4,2014/1/29,3.375,3483.875,0.0,63.0,25.69230769,102.0,0.0,0.0,0.0,0.806666667,17.0,10.0,19261.0,8610.0,0.0,0.0,0.0,0.0,27871.0,8610.0,0.37037037,0.62962963,0.691051952,0.30891217,0.0
31181.0,2009/10/5,2009/10/7,男,4.0,霸州,河北,CN,39.0,2014/3/31,15.0,28188.0,0.0,0.0,19050.0,5533.0,29593.0,28812.56,2014/2/29  0:00:00,1.875,3523.5,19.0,32.0,48.57142857,142.0,0.0,0.0,1.0,0.973627547,11.0,4.0,21401.0,6787.0,0.0,0.0,0.0,0.0,28188.0,6787.0,0.26666666699999997,0.7333333329999999,0.75919685,0.240767675,1.0
54891.0,2006/9/1,2006/9/1,男,4.0,博罗,广东,CN,56.0,2014/3/31,38.0,21295.0,0.0,0.0,17358.0,10686.0,47824.0,28587.01,2014/3/8,4.75,2661.875,5.0,24.0,18.97297297,137.0,0.0,0.0,0.0,0.597754475,24.0,14.0,13102.0,8193.0,0.0,0.0,0.0,0.0,21295.0,8193.0,0.36842105299999994,0.6315789470000001,0.615232908,0.384720135,0.0
39863.0,2009/3/2,2012/9/12,男,4.0,乌鲁木齐,新疆,CN,48.0,2014/3/31,19.0,23425.0,0.0,0.0,2892.0,19533.0,44788.0,28239.8,2014/3/30,2.375,2928.125,164.0,2.0,31.38888889,161.0,0.0,0.0,1.0,0.6305215679999999,2.0,17.0,3449.0,19976.0,0.0,0.0,0.0,0.0,23425.0,19976.0,0.894736842,0.10526315800000001,0.147229574,0.852727738,1.0
26691.0,2006/11/16,2007/2/28,男,4.0,大连,辽宁,CN,,2014/3/31,37.0,23666.0,0.0,0.0,1136.0,7259.0,38246.0,27857.77,2014/3/20,4.625,2958.25,40.0,12.0,18.86111111,99.0,0.0,0.0,1.0,0.728383883,14.0,23.0,6586.0,17080.0,0.0,0.0,0.0,0.0,23666.0,17080.0,0.621621622,0.37837837799999996,0.278277771,0.7216799759999999,1.0
12099.0,2008/4/16,2009/1/19,男,4.0,北京,北京,CN,58.0,2014/3/31,22.0,28248.0,0.0,0.0,20792.0,4198.0,34120.0,27840.8,2013/9/8,2.75,3531.0,5.0,206.0,24.76190476,186.0,0.0,1318.0,2.0,0.815967175,17.0,5.0,24110.0,4138.0,0.0,1318.0,1318.0,1318.0,29566.0,5456.0,0.22727272699999998,0.772727273,0.853481539,0.146483061,4.0
18750.0,2006/3/7,2006/3/7,男,4.0,广州,广东,CN,36.0,2014/3/31,26.0,23002.0,0.0,0.0,11266.0,14475.0,39495.0,27836.12,2014/3/30,3.25,2875.25,38.0,2.0,27.64,142.0,0.0,0.0,0.0,0.704801114,11.0,15.0,9590.0,13412.0,0.0,0.0,0.0,0.0,23002.0,13412.0,0.576923077,0.423076923,0.41690214299999995,0.583054384,0.0
2817.0,2007/11/5,2008/2/5,男,4.0,,,HK,57.0,2014/3/31,26.0,23737.0,0.0,0.0,21293.0,4864.0,30605.0,27502.88,2014/3/18,3.25,2967.125,32.0,14.0,27.4,136.0,0.0,0.0,2.0,0.898640091,21.0,5.0,17939.0,5798.0,0.0,0.0,0.0,0.0,23737.0,5798.0,0.192307692,0.807692308,0.755708147,0.24424972600000003,2.0
6999.0,2012/9/16,2012/9/16,男,4.0,乌鲁木齐,新疆,CN,45.0,2014/3/31,22.0,23936.0,0.0,0.0,6070.0,16557.0,36444.0,27267.8,2014/3/31,3.142857143,3419.428571,0.0,1.0,26.76190476,126.0,0.0,2464.0,0.0,0.748210954,5.0,17.0,7147.0,16789.0,0.0,2464.0,2464.0,2464.0,26400.0,19253.0,0.772727273,0.22727272699999998,0.298575427,0.7013827970000001,1.0
28834.0,2012/9/24,2013/1/21,男,4.0,广州,广东,CN,42.0,2014/3/31,16.0,27468.0,0.0,0.0,8619.0,14089.0,41774.0,27092.43,2014/3/21,2.285714286,3924.0,119.0,11.0,28.33333333,97.0,0.0,0.0,0.0,0.648547661,3.0,13.0,14378.0,13090.0,0.0,0.0,0.0,0.0,27468.0,13090.0,0.8125,0.1875,0.523426408,0.47653718700000003,0.0
4354.0,2009/11/27,2010/7/9,男,4.0,北京,北京,CN,42.0,2014/3/31,20.0,22540.0,0.0,0.0,9283.0,15406.0,39740.0,26984.98,2014/3/7,2.5,2817.5,88.0,25.0,32.52631579,109.0,0.0,0.0,0.0,0.6790382490000001,8.0,12.0,7461.0,15079.0,0.0,0.0,0.0,0.0,22540.0,15079.0,0.6,0.4,0.33099685,0.668958786,0.0
49843.0,2011/7/19,2011/7/19,男,4.0,乌鲁木齐,,CN,44.0,2014/3/31,20.0,22427.0,0.0,0.0,3150.0,19042.0,40213.0,26896.45,2014/3/26,2.5,2803.375,224.0,6.0,26.36842105,152.0,0.0,0.0,0.0,0.668849626,5.0,15.0,2942.0,19485.0,0.0,0.0,0.0,0.0,22427.0,19485.0,0.75,0.25,0.13117531699999999,0.868780096,0.0
15396.0,2012/4/20,2012/5/9,男,4.0,上海市,上海,CN,38.0,2014/3/31,33.0,20986.0,0.0,0.0,7207.0,9990.0,37713.0,26822.16,2014/3/11,4.125,2623.25,19.0,21.0,21.0,161.0,0.0,0.0,0.0,0.711217882,14.0,19.0,8908.0,12078.0,0.0,0.0,0.0,0.0,20986.0,12078.0,0.575757576,0.424242424,0.424453233,0.575499119,0.0
3260.0,2008/10/31,2010/1/19,男,4.0,乌鲁木齐,新疆,CN,69.0,2014/3/31,12.0,23174.0,0.0,0.0,11230.0,9479.0,39348.0,26645.03,2014/1/7,1.5,2896.75,72.0,85.0,52.18181818,101.0,0.0,0.0,0.0,0.677163515,6.0,6.0,13350.0,9824.0,0.0,0.0,0.0,0.0,23174.0,9824.0,0.5,0.5,0.57605178,0.42390507,0.0
55644.0,2011/7/19,2011/8/30,男,4.0,深圳,广东,CN,31.0,2014/3/31,18.0,24902.0,0.0,0.0,8092.0,14441.0,37320.0,26550.4,2013/12/18,2.25,3112.75,169.0,105.0,26.88235294,64.0,0.0,0.0,0.0,0.711425509,7.0,11.0,7989.0,16913.0,0.0,0.0,0.0,0.0,24902.0,16913.0,0.611111111,0.38888888899999996,0.320804722,0.679155122,0.0
4521.0,2010/8/30,2010/9/28,男,4.0,上海,上海,CN,53.0,2014/3/31,23.0,21987.0,0.0,0.0,7010.0,1868.0,34195.0,26513.07,2014/3/12,2.875,2748.375,72.0,20.0,29.04545455,178.0,0.0,0.0,1.0,0.77534932,15.0,8.0,16728.0,5259.0,0.0,0.0,0.0,0.0,21987.0,5259.0,0.347826087,0.6521739129999999,0.760778607,0.239175914,1.0
39241.0,2008/8/10,2009/3/4,女,4.0,长春,吉林,CN,36.0,2014/3/31,23.0,23949.0,0.0,0.0,3840.0,6200.0,30573.0,26385.14,2013/11/7,2.875,2993.625,23.0,146.0,25.54545455,163.0,0.0,0.0,0.0,0.8630209659999999,10.0,13.0,10296.0,13653.0,0.0,0.0,0.0,0.0,23949.0,13653.0,0.565217391,0.434782609,0.42989561600000004,0.57006263,0.0
