,MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight,Category
1048,11209,2005/6/29,2005/10/15,女,6,广州,广东,CN,40.0,2014/3/31,9,80349,0,3846,38949.0,24110.0,64966,69275.06,2014/1/5,1.125,10043.625,8,87,79.5,361,1500,0,0,1.066327925,5,4,46513,33836,3846,1500,5346,3846,85695,37682,0.444444444,0.5555555560000001,0.5788799,0.421107654,3,2
1710,29386,2005/11/30,2006/11/28,男,5,北京,北京,CN,52.0,2014/3/31,16,57375,0,0,3580.0,51860.0,61636,56286.33,2014/3/5,2.0,7171.875,12,27,46.13333333,232,18842,1324,1,0.913205432,4,12,3071,54304,0,20166,20166,1324,77541,55628,0.75,0.25,0.053524122,0.94645845,9,2
1763,31130,2009/8/7,2009/8/8,男,4,LANCESTER,PA,US,47.0,2014/3/31,6,50050,0,0,4224.0,20750.0,62468,55601.12,2014/1/1,0.75,6256.25,207,91,86.6,174,0,0,0,0.890073638,2,4,5850,44200,0,0,0,0,50050,44200,0.666666667,0.333333333,0.11688078199999999,0.8830992390000001,0,2
1970,57332,2008/5/15,2008/5/15,男,4,广州,广东,CN,60.0,2014/3/31,6,27912,0,0,6400.0,11200.0,73392,53086.88,2014/1/2,0.75,3489.0,179,90,92.4,178,0,0,0,0.723333333,2,4,9304,18608,0,0,0,0,27912,18608,0.666666667,0.333333333,0.333321391,0.666642783,0,2
2026,2257,2005/7/20,2005/8/17,女,4,,,NL,45.0,2014/3/31,13,60768,0,0,31360.0,6770.0,52254,52544.01,2013/6/13,1.625,7596.0,22,293,34.66666667,216,1600,800,0,1.005550006,10,3,49023,11745,0,2400,2400,800,63168,12545,0.23076923100000002,0.7692307690000001,0.806710658,0.193272886,3,2
2147,56698,2008/3/5,2008/4/9,男,4,广州,广东,CN,51.0,2014/3/31,5,58783,0,0,7020.0,17300.0,55013,51158.37,2014/3/2,0.625,7347.875,325,30,94.0,184,0,0,0,0.92993238,2,3,23264,35519,0,0,0,0,58783,35519,0.6,0.4,0.39575394700000005,0.604229042,0,2
2223,45852,2006/8/16,2006/11/8,男,4,ARCADIA,CA,US,69.0,2014/3/31,8,35707,0,0,0.0,16838.0,75870,50283.0,2014/2/2,1.0,4463.375,421,59,35.85714286,97,0,0,0,0.662752076,0,8,0,35707,0,0,0,0,35707,35707,1.0,0.0,0.0,0.999971995,0,2
2275,10061,2007/1/26,2007/1/26,女,4,广州,广东,CN,58.0,2014/3/31,6,27912,0,0,5700.0,10600.0,73392,49784.24,2014/3/25,0.75,3489.0,217,7,101.4,144,0,0,0,0.678333333,2,4,9304,18608,0,0,0,0,27912,18608,0.666666667,0.333333333,0.333321391,0.666642783,0,2
2392,3519,2008/10/27,2009/10/10,女,4,ALHAMBRA,CA,US,40.0,2014/3/31,6,27912,0,0,5800.0,10100.0,73392,48683.36,2013/11/28,0.75,3489.0,71,125,107.0,182,0,0,0,0.663333333,2,4,9304,18608,0,0,0,0,27912,18608,0.666666667,0.333333333,0.333321391,0.666642783,0,2
2393,29053,2004/12/18,2005/5/6,男,4,,,CN,46.0,2014/3/31,6,41872,0,0,0.0,21900.0,73392,48683.36,2014/2/5,0.75,5234.0,514,56,32.2,57,0,0,0,0.663333333,0,6,0,41872,0,0,0,0,41872,41872,1.0,0.0,0.0,0.999976118,0,2
