,MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,EP_SUM_YR_1,EP_SUM_YR_2,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,WEIGHTED_SEG_KM,LAST_FLIGHT_DATE,AVG_FLIGHT_COUNT,AVG_BP_SUM,BEGIN_TO_FIRST,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,ADD_POINTS_SUM_YR_1,ADD_POINTS_SUM_YR_2,EXCHANGE_COUNT,avg_discount,P1Y_Flight_Count,L1Y_Flight_Count,P1Y_BP_SUM,L1Y_BP_SUM,EP_SUM,ADD_Point_SUM,Eli_Add_Point_Sum,L1Y_ELi_Add_Points,Points_Sum,L1Y_Points_Sum,Ration_L1Y_Flight_Count,Ration_P1Y_Flight_Count,Ration_P1Y_BPS,Ration_L1Y_BPS,Point_NotFlight,Category
1492,59395,2011/7/8,2011/10/7,女,4,北京,北京,CN,40.0,2014/3/31,11,57365,0,0,41330.0,0.0,73370,59696.5,2013/2/9,1.375,7170.625,2,417,31.2,80,0,0,4,0.8136363640000001,11,0,57365,0,0,0,0,0,57365,0,0.0,1.0,0.999982568,0.0,6,1
2669,35095,2010/1/9,2010/1/9,女,4,深圳,广东,CN,38.0,2014/3/31,8,46758,0,0,19320.0,0.0,55830,46316.16,2013/3/16,1.0,5844.75,29,382,45.71428571,199,0,0,2,0.8295926920000001,8,0,46758,0,0,0,0,0,46758,0,0.0,1.0,0.9999786140000001,0.0,3,1
3660,14123,2012/6/2,2012/6/22,男,4,MURAYAMA,YAMAGATA,JP,53.0,2014/3/31,15,44010,0,0,38085.0,0.0,48450,40052.0,2013/2/1,1.875,5501.25,20,425,16.0,48,0,0,0,0.826666667,15,0,44010,0,0,0,0,0,44010,0,0.0,1.0,0.999977278,0.0,0,1
3890,23550,2012/6/1,2012/6/1,女,4,MIAMI,FL,US,64.0,2014/3/31,4,42637,0,0,36000.0,0.0,38663,38902.7,2012/6/28,0.5,5329.625,0,643,9.0,16,0,0,0,1.006199726,4,0,42637,0,0,0,0,0,42637,0,0.0,1.0,0.999976547,0.0,1,1
4087,14435,2011/4/22,2011/5/4,男,4,PALOS VERDES ESTATE,,US,52.0,2014/3/31,4,45863,0,0,19560.0,0.0,36880,37980.88,2012/7/17,0.5,5732.875,24,624,27.66666667,79,800,0,0,1.029850325,4,0,45863,0,0,800,800,0,46663,0,0.0,1.0,0.9999781959999999,0.0,1,1
4126,40674,2011/2/3,2011/7/17,女,4,LOS ANGELES,CA,US,28.0,2014/3/31,3,45363,0,0,18900.0,0.0,36696,37796.88,2012/6/4,0.375,5670.375,39,667,12.5,17,0,0,0,1.03,3,0,45363,0,0,0,0,0,45363,0,0.0,1.0,0.999977956,0.0,0,1
4129,50617,2012/5/2,2012/5/2,男,4,PLOENIX,AZ,US,31.0,2014/3/31,3,45363,0,0,18900.0,0.0,36696,37796.88,2012/7/24,0.375,5670.375,0,617,41.5,78,0,0,0,1.03,3,0,45363,0,0,0,0,0,45363,0,0.0,1.0,0.999977956,0.0,0,1
4515,22504,2010/9/1,2010/9/1,男,4,上海,上海,CN,53.0,2014/3/31,5,25886,0,0,12770.0,0.0,49693,36046.55,2013/3/20,0.625,3235.75,179,378,43.5,123,0,0,0,0.7253848629999999,5,0,25886,0,0,0,0,0,25886,0,0.0,1.0,0.9999613709999999,0.0,0,1
4605,13170,2010/8/20,2011/12/13,男,4,SAN YSIDRO,CA,US,20.0,2014/3/31,6,32568,0,0,13070.0,0.0,49832,35698.8,2013/1/2,0.75,4071.0,7,455,53.8,238,0,0,0,0.716383047,6,0,32568,0,0,0,0,0,32568,0,0.0,1.0,0.999969296,0.0,0,1
4644,1221,2007/9/16,2012/7/20,女,4,GARDENA,CA,US,47.0,2014/3/31,4,32568,0,0,12820.0,0.0,48928,35472.8,2012/10/18,0.5,4071.0,110,531,30.0,44,0,0,0,0.725,4,0,32568,0,0,0,0,0,32568,0,0.0,1.0,0.999969296,0.0,0,1
5056,40725,2010/10/16,2010/10/28,男,4,PARIS,,FR,61.0,2014/3/31,7,25075,0,0,14993.0,0.0,52850,33839.75,2013/1/22,0.875,3134.375,16,435,46.66666667,107,0,0,3,0.640298013,7,0,25075,0,0,0,0,0,25075,0,0.0,1.0,0.999960121,0.0,3,1
5278,32410,2011/9/9,2011/9/9,男,4,广州,广东,CN,34.0,2014/3/31,35,27052,0,0,32172.0,0.0,41713,33021.95,2012/12/4,4.375,3381.5,12,484,6.9117647060000005,34,0,0,0,0.791646489,35,0,27052,0,0,0,0,0,27052,0,0.0,1.0,0.9999630359999999,0.0,3,1
5647,19875,2012/7/15,2012/8/4,男,4,广州市,广东,CN,29.0,2014/3/31,6,30491,0,0,18030.0,0.0,40168,31804.0,2013/2/16,0.857142857,4355.857143,20,410,39.2,79,0,0,1,0.791774547,6,0,30491,0,0,0,0,0,30491,0,0.0,1.0,0.999967205,0.0,1,1
5767,60435,2012/5/12,2012/5/14,男,4,广州,广东,CN,72.0,2014/3/31,5,20244,0,0,9600.0,0.0,40582,31408.0,2012/9/12,0.625,2530.5,2,567,30.25,62,0,0,0,0.773939185,5,0,20244,0,0,0,0,0,20244,0,0.0,1.0,0.999950605,0.0,0,1
5883,51137,2011/8/1,2011/8/1,男,4,bever ifiiis,ca,US,46.0,2014/3/31,7,19208,0,0,11307.0,0.0,50290,30988.6,2012/11/5,0.875,2401.0,35,513,30.5,79,0,0,0,0.616198051,7,0,19208,0,0,0,0,0,19208,0,0.0,1.0,0.999947941,0.0,0,1
5960,5366,2011/8/21,2011/8/31,男,4,DARIS,,FR,38.0,2014/3/31,5,15584,0,0,12615.0,0.0,41559,30712.5,2012/7/15,0.625,1948.0,17,626,22.0,58,0,0,0,0.7390096009999999,5,0,15584,0,0,0,0,0,15584,0,0.0,1.0,0.9999358359999999,0.0,0,1
6042,48473,2008/7/28,2010/7/9,男,4,桂林,广西,CN,43.0,2014/3/31,7,35750,0,0,11763.0,0.0,39282,30489.0,2013/1/7,0.875,4468.75,154,450,21.16666667,63,0,0,3,0.7761570179999999,7,0,35750,0,0,0,0,0,35750,0,0.0,1.0,0.999972029,0.0,3,1
6237,6202,2012/1/14,2012/1/14,男,4,深圳,广东,CN,39.0,2014/3/31,9,29533,0,0,63139.0,0.0,36331,29927.05,2013/2/26,1.125,3691.625,11,400,40.0,106,22050,0,3,0.823733176,9,0,29533,0,0,22050,22050,0,51583,0,0.0,1.0,0.9999661409999999,0.0,6,1
6301,32844,2011/12/13,2012/7/30,女,4,上海市,上海,CN,34.0,2014/3/31,4,35592,0,0,14400.0,0.0,37152,29721.6,2013/1/13,0.5,4449.0,120,444,55.66666667,160,0,0,0,0.8,4,0,35592,0,0,0,0,0,35592,0,0.0,1.0,0.999971905,0.0,0,1
6573,13679,2010/10/28,2010/12/25,男,4,PARIS,,FR,45.0,2014/3/31,8,17484,0,0,13345.0,0.0,43969,28965.9,2012/6/17,1.0,2185.5,8,654,9.857142857000001,47,0,0,0,0.65878005,8,0,17484,0,0,0,0,0,17484,0,0.0,1.0,0.999942808,0.0,0,1
6634,30716,2008/10/15,2008/11/2,女,4,ARCADIA,CA,US,54.0,2014/3/31,6,33244,0,0,15866.0,0.0,30140,28798.22,2012/12/8,0.75,4155.5,64,480,37.4,118,0,0,0,0.9554817520000001,6,0,33244,0,0,0,0,0,33244,0,0.0,1.0,0.99996992,0.0,0,1
6725,21917,2010/3/19,2011/4/9,男,4,乌鲁木齐,新疆,CN,38.0,2014/3/31,16,21807,0,0,19537.0,0.0,38885,28583.0,2013/3/28,2.0,2725.875,5,370,23.73333333,90,0,0,0,0.735064935,16,0,21807,0,0,0,0,0,21807,0,0.0,1.0,0.999954145,0.0,0,1
6834,14247,2011/7/6,2011/7/14,女,4,四平,吉林,CN,44.0,2014/3/31,24,22233,0,0,18603.0,0.0,34686,28235.5,2013/3/9,3.0,2779.125,11,389,14.39130435,42,713,0,0,0.814031598,24,0,22233,0,0,713,713,0,22946,0,0.0,1.0,0.999955024,0.0,1,1
6993,23728,2012/4/1,2012/10/20,男,4,BIVERA,BIUERA,UV,46.0,2014/3/31,5,22487,0,0,3900.0,6447.0,39074,27844.5,2013/4/21,0.625,2810.875,202,346,45.75,172,0,0,0,0.7126094079999999,1,4,11632,10855,0,0,0,0,22487,10855,0.8,0.2,0.517253646,0.482701885,0,1
6999,42413,2012/3/8,2012/3/8,女,4,广州,广东,CN,32.0,2014/3/31,36,22057,0,0,27573.0,0.0,37674,27832.45,2013/2/3,4.5,2757.125,2,423,8.742857143,34,0,0,0,0.73877077,36,0,22057,0,0,0,0,0,22057,0,0.0,1.0,0.999954665,0.0,1,1
7001,29483,2012/4/14,2012/5/2,女,4,MONTERY PARK,CA,US,55.0,2014/3/31,5,32112,0,0,14864.0,0.0,30093,27827.12,2012/5/28,0.625,4014.0,18,674,6.5,12,0,0,0,0.924704084,5,0,32112,0,0,0,0,0,32112,0,0.0,1.0,0.99996886,0.0,0,1
7136,48198,2009/9/19,2009/9/19,男,4,潮州,广东,CN,28.0,2014/3/31,23,18899,0,0,20197.0,0.0,39827,27499.0,2013/1/29,2.875,2362.375,20,428,12.86363636,32,797,0,0,0.690461245,23,0,18899,0,0,797,797,0,19696,0,0.0,1.0,0.99994709,0.0,1,1
7234,22927,2011/7/13,2011/7/13,女,4,广州,广东,CN,30.0,2014/3/31,6,16395,0,0,12710.0,0.0,43590,27256.4,2013/2/7,0.75,2049.375,88,419,44.8,111,0,0,0,0.625290204,6,0,16395,0,0,0,0,0,16395,0,0.0,1.0,0.99993901,0.0,0,1
7305,40305,2009/10/21,2009/10/21,男,4,BANTING,SELANGOR,MY,52.0,2014/3/31,13,28311,0,0,17515.0,0.0,33565,27087.05,2013/3/6,1.625,3538.875,24,392,26.25,208,0,0,0,0.80700283,13,0,28311,0,0,0,0,0,28311,0,0.0,1.0,0.9999646790000001,0.0,0,1
7360,23174,2011/1/29,2011/1/29,女,4,广州,广东,CN,35.0,2014/3/31,24,24084,0,0,24638.0,0.0,40229,26980.05,2012/12/21,3.0,3010.5,16,467,10.7826087,31,0,0,1,0.670661712,24,0,24084,0,0,0,0,0,24084,0,0.0,1.0,0.99995848,0.0,2,1
7404,28822,2012/9/6,2012/10/6,男,4,BERKELEY HTS,,US,70.0,2014/3/31,7,32265,0,0,14355.0,0.0,30108,26891.12,2012/11/15,1.0,4609.285714,30,503,6.666666667,31,0,0,0,0.893155308,7,0,32265,0,0,0,0,0,32265,0,0.0,1.0,0.999969008,0.0,0,1
